entry_id,character,modern_reading,mc_form,mc_onset,mc_onset_group,mc_rhyme,mc_rhyme_group,mc_annotation,oc_form_raw,oc_form_clean,gloss,source_ref,pdf_page,raw_text
0171e,椽,chuán,drjwen,dr,澄,-jwen,仙 (III),dr- + -jwen A,*lron,lron,"beam, rafter",21259.02759U+693D,32,"0171e椽chuándrjwen(dr- + -jwen A)*lron beam, rafter21259.02759U+693D"
0171i,喙,huì,xjwoj,x,曉,-jwoj,,x- + -jwoj C,*l̥o[rʔ]-s,l̥orʔ-s,(W dialect: *l̥- > MC x-) snout; to pant,10663.1309U+5599,32,0171i喙huìxjwojH(x- + -jwoj C)*l̥o[rʔ]-s (W dialect: *l̥- > MC x-) snout; to pant10663.1309U+5599
0172a,段,duàn,twan,t,端,-wan,桓,t- + -wan C,*tˤo[n]-s,tˤon-s,hammer,32155.1795U+6BB5,32,0172a段duàntwanH(t- + -wan C)*tˤo[n]-s hammer32155.1795U+6BB5
0174a,算,suàn,swan,s,心,-wan,桓,s- + -wan C,*[s]ˤorʔ-s,sˤorʔ-s,calculate; tally,52981.081188U+7B97,32,0174a算suànswanH(s- + -wan C)*[s]ˤorʔ-s calculate; tally52981.081188U+7B97
0174d,纂,zuǎn,tswan,ts,精,-wan,桓,ts- + -wan B,*[ts]ˤo[n]ʔ,tsˤonʔ,silk band,53463.1212014U+7E82,32,0174d纂zuǎntswanX(ts- + -wan B)*[ts]ˤo[n]ʔ silk band53463.1212014U+7E82
0175a,祘,suàn,swan,s,心,-wan,桓,s- + -wan C,*[s]ˤorʔ-s,sˤorʔ-s,calculate,42389.051135U+7958,32,0175a祘suànswanH(s- + -wan C)*[s]ˤorʔ-s calculate42389.051135U+7958
0175b,蒜,suàn,swan,s,心,-wan,桓,s- + -wan C,*[s]ˤor-s,sˤor-s,garlic,53259.1314010U+849C,32,0175b蒜suànswanH(s- + -wan C)*[s]ˤor-s garlic53259.1314010U+849C
0176a,竄,cuàn,tshwan,tsh,清,-wan,桓,tsh- + -wan C,*[tsʰ]ˤo[n]-s,tsʰˤon-s,hide; flee,42744.0711613U+7AC4,32,0176a竄cuàntshwanH(tsh- + -wan C)*[tsʰ]ˤo[n]-s hide; flee42744.0711613U+7AC4
0178a,䜌,luán,lwan,l,來,-wan,桓,l- + -wan A,*mə.rˤo[n],mə.rˤon,harness bells,53461.0814912U+470C,32,0178a䜌luánlwan(l- + -wan A)*məә.rˤo[n] harness bells53461.0814912U+470C
0178d,欒,luán,lwan,l,來,-wan,桓,l- + -wan A,*[m]ə.rˤon,mə.rˤon,corners of the rim of an oval bell,21324.157519U+6B12,32,0178d欒luánlwan(l- + -wan A)*[m]əә.rˤon corners of the rim of an oval bell21324.157519U+6B12
0178d,欒,luán,lwan,l,來,-wan,桓,l- + -wan A,*[r]ˤo[n],rˤon,"emaciated, worn",21324.157519U+6B12,32,"0178d欒luánlwan(l- + -wan A)*[r]ˤo[n] emaciated, worn21324.157519U+6B12"
0178f,鑾,luán,lwan,l,來,-wan,桓,l- + -wan A,*[m]ə.rˤon,mə.rˤon,harness bells,64277.0116719U+947E,32,0178f鑾luánlwan(l- + -wan A)*[m]əә.rˤon harness bells64277.0116719U+947E
0178h,鸞,luán,lwan,l,來,-wan,桓,l- + -wan A,*[r]ˤon,rˤon,phoenix,74672.1219619U+9E1E,32,0178h鸞luánlwan(l- + -wan A)*[r]ˤon phoenix74672.1219619U+9E1E
0178k,孌,liàn,ljwen,l,來,-jwen,仙 (III),l- + -jwen B,*[r]onʔ,ronʔ,beautiful,21091.083819U+5B4C,32,0178k孌liànljwenX(l- + -jwen B)*[r]onʔ beautiful21091.083819U+5B4C
0178m,戀,liàn,ljwen,l,來,-jwen,仙 (III),l- + -jwen C,*[r]on-s,ron-s,to long for,42372.086119U+6200,32,0178m戀liànljwenH(l- + -jwen C)*[r]on-s to long for42372.086119U+6200
0178o,變,biàn,pjen,p,幫,-jen,仙 (III),p- + -jen C,*pro[n]-s,pron-s,change (v.),21481.0714916U+8B8A,32,0178o變biànpjenH(p- + -jen C)*pro[n]-s change (v.)21481.0714916U+8B8A
0178p,蠻,mán,maen,m,明,-aen,刪,m- + -aen A,*mˤro[n],mˤron,southern foreigner,42909.2114219U+883B,32,0178p蠻mánmaen(m- + -aen A)*mˤro[n] southern foreigner42909.2114219U+883B
0178q,孿,luán,srjwen,sr,生,-jwen,仙 (III),sr- + -jwen C,*[s.r]on-s,s.ron-s,twins,21020.133919U+5B7F,32,0178q孿luánsrjwenH(sr- + -jwen C)*[s.r]on-s twins21020.133919U+5B7F
0178q,孿,luán,srwaen,sr,生,-waen,刪,sr- + -waen C,*[s.r]on-s,s.ron-s,twins,21020.133919U+5B7F,32,0178q孿luánsrwaenH(sr- + -waen C)*[s.r]on-s twins21020.133919U+5B7F
0179a,卵,luǎn,lwa,l,來,-wa,戈,l- + -wa B,*k.rˤorʔ,k.rˤorʔ,(dialect: *-r > *-j)egg,10313.04265U+5375,32,0179a卵luǎnlwaX(l- + -wa B)*k.rˤorʔ (dialect: *-r > *-j)egg10313.04265U+5375
0179a,卵,luǎn,lwan,l,來,-wan,桓,l- + -wan B,*k.rˤorʔ,k.rˤorʔ,egg,10313.04265U+5375,32,0179a卵luǎnlwanX(l- + -wan B)*k.rˤorʔ egg10313.04265U+5375
0180a,𤔔,luàn,lwan,l,來,-wan,桓,l- + -wan C,*[r]ˤo[n]-s,rˤon-s,"disorder, rebellion",32036.01878U+24514,32,"0180a𤔔luànlwanH(l- + -wan C)*[r]ˤo[n]-s disorder, rebellion32036.01878U+24514"
0180c,亂,luàn,lwan,l,來,-wan,桓,l- + -wan C,*[r]ˤo[n]-s,rˤon-s,"disorder, rebellion",10057.1512U+4E82,32,"0180c亂luànlwanH(l- + -wan C)*[r]ˤo[n]-s disorder, rebellion10057.1512U+4E82"
0181a,半,bàn,pan,p,幫,-an,寒,p- + -an C,*pˤan-s,pˤan-s,half,10046.01243U+534A,32,0181a半bànpanH(p- + -an C)*pˤan-s half10046.01243U+534A
0181c,伴,bàn,ban,b,並,-an,寒,b- + -an B,*[C.b]ˤanʔ,C.bˤanʔ,comrade,10139.0195U+4F34,32,0181c伴bànbanX(b- + -an B)*[C.b]ˤanʔ comrade10139.0195U+4F34
0181d,判,pàn,phan,ph,滂,-an,寒,ph- + -an C,*pʰˤan-s,pʰˤan-s,divide,10331.05185U+5224,32,0181d判pànphanH(ph- + -an C)*pʰˤan-s divide10331.05185U+5224
0181k,畔,pàn,ban,b,並,-an,寒,b- + -an C,*m-pʰˤan-s,m-pʰˤan-s,bank between fields,42539.011025U+7554,32,0181k畔pànbanH(b- + -an C)*m-pʰˤan-s bank between fields42539.011025U+7554
0182-,搬,bān,pan,p,幫,-an,寒,p- + -an A,*Cə.pˤan,Cə.pˤan,move,31933.026410U+642C,33,0182-搬bānpan(p- + -an A)*Cəә.pˤan move31933.026410U+642C
0182e,盤,pán,ban,b,並,-an,寒,b- + -an A,*[b]ˤan,bˤan,"tray, basin",42568.0310810U+76E4,33,"0182e盤pánban(b- + -an A)*[b]ˤan tray, basin42568.0310810U+76E4"
0183c,滿,mǎn,man,m,明,-an,寒,m- + -an B,*mˤ[o][n]ʔ,mˤonʔ,full,31714.018511U+6EFF,33,0183c滿mǎnmanX(m- + -an B)*mˤ[o][n]ʔ full31714.018511U+6EFF
0183d,瞞,mán,man,m,明,-an,寒,m- + -an A,*mˤ[o][r],mˤor,be deceived,42509.0710911U+779E,33,0183d瞞mánman(m- + -an A)*mˤ[o][r] be deceived42509.0710911U+779E
0183f,璊,mén,mwon,m,明,-won,魂,m- + -won A,*mˤur,mˤur,red gem,21134.049611U+748A,33,0183f璊ménmwon(m- + -won A)*mˤur red gem21134.049611U+748A
0183g,懣,mèn,man,m,明,-an,寒,m- + -an B,*mˤ[o][n]ʔ,mˤonʔ,grieved,42363.186114U+61E3,33,0183g懣mènmanX(m- + -an B)*mˤ[o][n]ʔ grieved42363.186114U+61E3
0184a,姦,jiān,kaen,k,見,-aen,刪,k- + -aen A,*[k]ˤran,kˤran,wicked(ness),21048.1386U+59E6,33,0184a姦jiānkaen(k- + -aen A)*[k]ˤran wicked(ness)21048.1386U+59E6
0185a,柬,jiǎn,kean,k,見,-ean,山,k- + -ean B,*kˤr[a]nʔ,kˤranʔ,"select, distinguish",21179.04755U+67EC,33,"0185a柬jiǎnkeanX(k- + -ean B)*kˤr[a]nʔ select, distinguish21179.04755U+67EC"
0185b,諫,jiàn,kaen,k,見,-aen,刪,k- + -aen C,*kˤranʔ(-s),kˤranʔ-s,(~ *kˤranʔ)admonish,63995.091499U+8AEB,33,0185b諫jiànkaenH(k- + -aen C)*kˤranʔ(-s) (~ *kˤranʔ)admonish63995.091499U+8AEB
0185e,揀,jiǎn,kean,k,見,-ean,山,k- + -ean B,*kˤr[a]nʔ,kˤranʔ,select,31913.08649U+63C0,33,0185e揀jiǎnkeanX(k- + -ean B)*kˤr[a]nʔ select31913.08649U+63C0
0185f,闌,lán,lan,l,來,-an,寒,l- + -an A,*[r]ˤan,rˤan,railing,74307.111699U+95CC,33,0185f闌lánlan(l- + -an A)*[r]ˤan railing74307.111699U+95CC
0185i,練,liàn,len,l,來,-en,先,l- + -en C,*[r]ˤen-s,rˤen-s,sized white silk,53424.021209U+7DF4,33,0185i練liànlenH(l- + -en C)*[r]ˤen-s sized white silk53424.021209U+7DF4
0185j,鍊,liàn,len,l,來,-en,先,l- + -en C,*[r]ˤen-s,rˤen-s,refine (metal),64228.141679U+934A,33,0185j鍊liànlenH(l- + -en C)*[r]ˤen-s refine (metal)64228.141679U+934A
0185k,瀾,,lan,l,來,-an,寒,l- + -an B,*[r]ˤanʔ,rˤanʔ,,31790.098517U+703E,33,0185k瀾lanX(l- + -an B)*[r]ˤanʔ 31790.098517U+703E
0185l,爛,làn,lan,l,來,-an,寒,l- + -an C,*[r]ˤan-s,rˤan-s,cooked until soft,32249.028617U+721B,33,0185l爛lànlanH(l- + -an C)*[r]ˤan-s cooked until soft32249.028617U+721B
0185m,爤,làn,lan,l,來,-an,寒,l- + -an C,*[r]ˤan-s,rˤan-s,cooked until soft,32250.158621U+7224,33,0185m爤lànlanH(l- + -an C)*[r]ˤan-s cooked until soft32250.158621U+7224
0185n,蘭,lán,lan,l,來,-an,寒,l- + -an A,*k.rˤan,k.rˤan,orchid,53333.0514017U+862D,33,0185n蘭lánlan(l- + -an A)*k.rˤan orchid53333.0514017U+862D
0186a,鴈,yàn,ngaen,ng,疑,-aen,刪,ng- + -aen C,*C.[ŋ]ˤrar-s,C.ŋˤrar-s,wild goose,74618.031964U+9D08,33,0186a鴈yànngaenH(ng- + -aen C)*C.[ŋ]ˤrar-s wild goose74618.031964U+9D08
0186b,雁,yàn,ngaen,ng,疑,-aen,刪,ng- + -aen C,*C.[ŋ]ˤrar-s,C.ŋˤrar-s,wild goose,64093.021724U+96C1,33,0186b雁yànngaenH(ng- + -aen C)*C.[ŋ]ˤrar-s wild goose64093.021724U+96C1
0187b,關,guān,kwaen,k,見,-waen,刪,k- + -waen A,*[k]ˤro[n],kˤron,barrier,74316.116911U+95DC,33,0187b關guānkwaen(k- + -waen A)*[k]ˤro[n] barrier74316.116911U+95DC
0187b,關,guān,kwaen,k,見,-waen,刪,k- + -waen A,*[k]ˤro[n],kˤron,,74316.116911U+95DC,33,0187b關guānkwaen(k- + -waen A)*[k]ˤro[n] 74316.116911U+95DC
0187b,關,guān,kwaen,k,見,-waen,刪,k- + -waen A,*kˤro[n],kˤron,,74316.116911U+95DC,33,0187b關guānkwaen(k- + -waen A)*kˤro[n] 74316.116911U+95DC
0188a,宦,huàn,hwaen,h,匣,-waen,刪,h- + -waen C,*m-kʷˤ<r>a[n]-s,m-kʷˤran-s,servant,20924.01406U+5BA6,33,0188a宦huànhwaenH(h- + -waen C)*m-kʷˤ<r>a[n]-s servant20924.01406U+5BA6
0190a,班,bān,paen,p,幫,-aen,刪,p- + -aen A,*pˤ<r>an,pˤran,"divide, distribute",21113.03966U+73ED,33,"0190a班bānpaen(p- + -aen A)*pˤ<r>an divide, distribute21113.03966U+73ED"
0190c,斑,bān,paen,p,幫,-aen,刪,p- + -aen A,*pˤran,pˤran,variegated,21123.04678U+6591,33,0190c斑bānpaen(p- + -aen A)*pˤran variegated21123.04678U+6591
0191a,間,jiān,kean,k,見,-ean,山,k- + -ean A,*kˤre[n],kˤren,interval,74288.061694U+9593,33,0191a間jiānkean(k- + -ean A)*kˤre[n] interval74288.061694U+9593
0191a,間,jiān,kean,k,見,-ean,山,k- + -ean A,*kˤre[n],kˤren,,74288.061694U+9593,33,0191a間jiānkean(k- + -ean A)*kˤre[n] 74288.061694U+9593
0191b,間,xián,hean,h,匣,-ean,山,h- + -ean A,*N-kˤre[n],N-kˤren,idle,74288.061694U+9593,33,0191b間xiánhean(h- + -ean A)*N-kˤre[n] idle74288.061694U+9593
0191d,簡,jiǎn,kean,k,見,-ean,山,k- + -ean B,*kˤre[n]ʔ,kˤrenʔ,"bamboo slip for writing53017.1511812U+7C21
water in which rice has beenwashed
關關 kwaen.kwaen [bird’s cry]間關 sound of a chariot's linchpin(Ode 218.1)間關 sound of a chariot's linchpin(Ode 218.1)",,33,"0191d簡jiǎnkeanX(k- + -ean B)*kˤre[n]ʔ bamboo slip for writing53017.1511812U+7C21
water in which rice has beenwashed
關關 kwaen.kwaen [bird’s cry]間關 sound of a chariot's linchpin(Ode 218.1)間關 sound of a chariot's linchpin(Ode 218.1)"
0191d,簡,jiǎn,kean,k,見,-ean,山,k- + -ean B,*kˤre[n]ʔ,kˤrenʔ,"select, large-minded, etc.",53017.1511812U+7C21,34,"0191d簡jiǎnkeanX(k- + -ean B)*kˤre[n]ʔ select, large-minded, etc.53017.1511812U+7C21"
0191f,蕑,jiān,kean,k,見,-ean,山,k- + -ean A,*k.rˤan,k.rˤan,(dialect: *k.rˤ- > *kˤr-)orchid,53297.1214012U+8551,34,0191f蕑jiānkean(k- + -ean A)*k.rˤan (dialect: *k.rˤ- > *kˤr-)orchid53297.1214012U+8551
0191f,蕑,jiān,kean,k,見,-ean,山,k- + -ean A,*k.rˤe[n],k.rˤen,(dialect: *k.rˤ- > kˤr-)lotus fruit (Ode 145.2),53297.1214012U+8551,34,0191f蕑jiānkean(k- + -ean A)*k.rˤe[n] (dialect: *k.rˤ- > kˤr-)lotus fruit (Ode 145.2)53297.1214012U+8551
0191h,瞷,xián,hean,h,匣,-ean,山,h- + -ean A,*m-[k]ˤ<r>en,m-kˤren,"spy on, watch",42515.0510912U+77B7,34,"0191h瞷xiánhean(h- + -ean A)*m-[k]ˤ<r>en spy on, watch42515.0510912U+77B7"
0191i,澗,jiàn,kaen,k,見,-aen,刪,k- + -aen C,*[k]ˤra[n]-s,kˤran-s,(rhymes as if *[k]ˤra[n])stream in a ravine,80024.148512U+6F97,34,0191i澗jiànkaenH(k- + -aen C)*[k]ˤra[n]-s (rhymes as if *[k]ˤra[n])stream in a ravine80024.148512U+6F97
0192a,閑,xián,hean,h,匣,-ean,山,h- + -ean A,*[g]ˤra[n],gˤran,great; large-minded,74287.031694U+9591,34,0192a閑xiánhean(h- + -ean A)*[g]ˤra[n] great; large-minded74287.031694U+9591
0192a,閑,xián,hean,h,匣,-ean,山,h- + -ean A,*[g]ˤra[n],gˤran,well-trained,74287.031694U+9591,34,0192a閑xiánhean(h- + -ean A)*[g]ˤra[n] well-trained74287.031694U+9591
0192a,閑,xián,hean,h,匣,-ean,山,h- + -ean A,*N-kˤre[n],N-kˤren,idle,74287.031694U+9591,34,0192a閑xiánhean(h- + -ean A)*N-kˤre[n] idle74287.031694U+9591
0192a,閑,xián,hean,h,匣,-ean,山,h- + -ean A,*[g]ˤra[n],gˤran,"bar, barrier",74287.031694U+9591,34,"0192a閑xiánhean(h- + -ean A)*[g]ˤra[n] bar, barrier74287.031694U+9591"
0193a,山,shān,srean,sr,生,-ean,山,sr- + -ean A,*s-ŋrar,s-ŋrar,"mountain, hill",10759.11460U+5C71,34,"0193a山shānsrean(sr- + -ean A)*s-ŋrar mountain, hill10759.11460U+5C71"
0193f,仙,xiān,sjen,s,心,-jen,仙 (III),s- + -jen A,*[s]a[r],sar,immortal (n.),10114.0393U+4ED9,34,0193f仙xiānsjen(s- + -jen A)*[s]a[r] immortal (n.)10114.0393U+4ED9
0194a,產,chǎn,srean,sr,生,-ean,山,sr- + -ean B,*s-ŋrarʔ,s-ŋrarʔ,"bear (v.), produce",42577.1511006U+7522,34,"0194a產chǎnsreanX(sr- + -ean B)*s-ŋrarʔ bear (v.), produce42577.1511006U+7522"
0195-,鄱,pó,ba,b,並,-a,歌,b- + -a A,*[b]ˤar,bˤar,63797.0316312U+9131 0195a⾤釆biànbeanH(b- + -ean C)*[b]ˤre[n]-s discriminate,63898.011650U+91C6,34,0195-鄱póba(b- + -a A)*[b]ˤar 63797.0316312U+9131 0195a⾤釆biànbeanH(b- + -ean C)*[b]ˤre[n]-s discriminate63898.011650U+91C6
0195b,番,bō,pa,p,幫,-a,歌,p- + -a A,*pˤar,pˤar,martial,42543.041027U+756A,34,0195b番bōpa(p- + -a A)*pˤar martial42543.041027U+756A
0195b,番,fān,phjon,ph,滂,-jon,元,ph- + -jon A,*pʰar,pʰar,"a turn, a time",42543.041027U+756A,34,"0195b番fānphjon(ph- + -jon A)*pʰar a turn, a time42543.041027U+756A"
0195i,燔,fán,bjon,b,並,-jon,元,b- + -jon A,*[b]ar,bar,"burn, roast",32235.088612U+71D4,34,"0195i燔fánbjon(b- + -jon A)*[b]ar burn, roast32235.088612U+71D4"
0195m,蕃,fān,pjon,p,幫,-jon,元,p- + -jon A,*par,par,"hedge, screen, fence",53293.1314012U+8543,34,"0195m蕃fānpjon(p- + -jon A)*par hedge, screen, fence53293.1314012U+8543"
0195m,蕃,fán,bjon,b,並,-jon,元,b- + -jon A,*[b]ar,bar,luxuriant (growth),53293.1314012U+8543,34,0195m蕃fánbjon(b- + -jon A)*[b]ar luxuriant (growth)53293.1314012U+8543
0195o,蟠,pán,ba,b,並,-a,歌,b- + -a A,*[b]ˤar,bˤar,curl (v.),42893.0614212U+87E0,34,0195o蟠pánba(b- + -a A)*[b]ˤar curl (v.)42893.0614212U+87E0
0195o,蟠,pán,ban,b,並,-an,寒,b- + -an A,*[b]ˤar,bˤar,curl (v.),42893.0614212U+87E0,34,0195o蟠pánban(b- + -an A)*[b]ˤar curl (v.)42893.0614212U+87E0
0195p,播,bò,pa,p,幫,-a,歌,p- + -a C,*pˤar-s,pˤar-s,to sow,31960.126412U+64AD,34,0195p播bòpaH(p- + -a C)*pˤar-s to sow31960.126412U+64AD
0195r,皤,pó,ba,b,並,-a,歌,b- + -a A,*[b]ˤar,bˤar,"white, white-haired",42651.2110612U+76A4,34,"0195r皤póba(b- + -a A)*[b]ˤar white, white-haired42651.2110612U+76A4"
0195s,藩,fān,pjon,p,幫,-jon,元,p- + -jon A,*par,par,"hedge, screen, fence",53322.114015U+85E9,34,"0195s藩fānpjon(p- + -jon A)*par hedge, screen, fence53322.114015U+85E9"
0196b,遣,qiǎn,khjien,kh,溪,-jien,仙 (IV),kh- + -jien B,*[k]ʰe[n]ʔ,kʰenʔ,send,63871.0716210U+9063,34,0196b遣qiǎnkhjienX(kh- + -jien B)*[k]ʰe[n]ʔ send63871.0716210U+9063
0196b,遣,qiàn,khjien,kh,溪,-jien,仙 (IV),kh- + -jien C,*[k]ʰe[n]ʔ-s,kʰenʔ-s,(*kʰ- doesn't palatalize)grave goods,63871.0716210U+9063,34,0196b遣qiànkhjienH(kh- + -jien C)*[k]ʰe[n]ʔ-s (*kʰ- doesn't palatalize)grave goods63871.0716210U+9063
0197b,愆,qiān,khjen,kh,溪,-jen,仙 (III),kh- + -jen A,*C.qʰra[n],C.qʰran,"exceed, err",42322.14619U+6106,34,"0197b愆qiānkhjen(kh- + -jen A)*C.qʰra[n] exceed, err42322.14619U+6106"
0197c,餰,qiān,tsyen,tsy,章,-en,先,tsy- + -en A,*t-qa[n],t-qan,gruel,74465.11849U+9930,34,0197c餰qiāntsyen(tsy- + -en A)*t-qa[n] gruel74465.11849U+9930
0198a,虔,qián,gjen,g,群,-jen,仙 (III),g- + -jen A,*[g]ra[n],gran,kill; cut (v.),42821.021414U+8654,34,0198a虔qiángjen(g- + -jen A)*[g]ra[n] kill; cut (v.)42821.021414U+8654
0199a,彥,yàn,ngjen,ng,疑,-jen,仙 (III),ng- + -jen C,*ŋrar-s,ŋrar-s,adornment,20854.091596U+5F65,34,0199a彥yànngjenH(ng- + -jen C)*ŋrar-s adornment20854.091596U+5F65
0199b,諺,yàn,ngjen,ng,疑,-jen,仙 (III),ng- + -jen C,*ŋra[n]-s,ŋran-s,"saying, proverb64001.021499U+8AFA
鄱陽 Póyáng (place name)",,34,"0199b諺yànngjenH(ng- + -jen C)*ŋra[n]-s saying, proverb64001.021499U+8AFA
鄱陽 Póyáng (place name)"
0199c,顏,yán,ngaen,ng,疑,-aen,刪,ng- + -aen A,*C.ŋˤrar,C.ŋˤrar,"face, forehead",74383.1011819U+984F,35,"0199c顏yánngaen(ng- + -aen A)*C.ŋˤrar face, forehead74383.1011819U+984F"
0199c,顏,yán,ngaen,ng,疑,-aen,刪,ng- + -aen A,*C.ŋˤrar,C.ŋˤrar,surname,74383.1011819U+984F,35,0199c顏yánngaen(ng- + -aen A)*C.ŋˤrar surname74383.1011819U+984F
0200-,鄢,yān,'jen,',影,-jen,仙 (III),'- + -jen A,*[ʔ](r)a[n],ʔran,(place name),63791.0416311U+9122,35,0200-鄢yān'jen('- + -jen A)*[ʔ](r)a[n] (place name)63791.0416311U+9122
0200-,鄢,yān,'jon,',影,-jon,元,'- + -jon A,*[ʔ]a[n],ʔan,(place name),63791.0416311U+9122,35,0200-鄢yān'jon('- + -jon A)*[ʔ]a[n] (place name)63791.0416311U+9122
0200-,鄢,yān,'jon,',影,-jon,元,'- + -jon B,*[ʔ]a[n]ʔ,ʔanʔ,(place name),63791.0416311U+9122,35,0200-鄢yān'jonX('- + -jon B)*[ʔ]a[n]ʔ (place name)63791.0416311U+9122
0200a,焉,yān,'jen,',影,-jen,仙 (III),'- + -jen A,*ʔa[n],ʔan,how,32206.14867U+7109,35,0200a焉yān'jen('- + -jen A)*ʔa[n] how32206.14867U+7109
0201-,搌,zhǎn,trjen,tr,知,-jen,仙 (III),tr- + -jen B,*trenʔ,trenʔ,,31938.056410U+640C,35,0201-搌zhǎntrjenX(tr- + -jen B)*trenʔ 31938.056410U+640C
0201a,展,zhǎn,trjen,tr,知,-jen,仙 (III),tr- + -jen B,*trenʔ,trenʔ,roll over; unfold,20974.07447U+5C55,35,0201a展zhǎntrjenX(tr- + -jen B)*trenʔ roll over; unfold20974.07447U+5C55
0201a,展,zhǎn,trjen,tr,知,-jen,仙 (III),tr- + -jen C,*tra[n]-s,tran-s,ritual robe,20974.07447U+5C55,35,0201a展zhǎntrjenH(tr- + -jen C)*tra[n]-s ritual robe20974.07447U+5C55
0201b,輾,zhǎn,trjen,tr,知,-jen,仙 (III),tr- + -jen B,*tre[n]ʔ,trenʔ,,53551.0515910U+8F3E,35,0201b輾zhǎntrjenX(tr- + -jen B)*tre[n]ʔ 53551.0515910U+8F3E
0201c,蹍,niǎn,nrjen,nr,娘,-jen,仙 (III),nr- + -jen B,*[n]r[a][n]ʔ,nranʔ,trample,63731.0915710U+8E4D,35,0201c蹍niǎnnrjenX(nr- + -jen B)*[n]r[a][n]ʔ trample63731.0915710U+8E4D
0204a,廛,chán,drjen,dr,澄,-jen,仙 (III),dr- + -jen A,*[d]ra[n],dran,farmyard,20902.015312U+5EDB,35,0204a廛chándrjen(dr- + -jen A)*[d]ra[n] farmyard20902.015312U+5EDB
0204b,躔,chán,drjen,dr,澄,-jen,仙 (III),dr- + -jen A,*[d]ra[n],dran,tracks; orbit (v.),63748.0615715U+8E94,35,0204b躔chándrjen(dr- + -jen A)*[d]ra[n] tracks; orbit (v.)63748.0615715U+8E94
0204c,纏,chán,drjen,dr,澄,-jen,仙 (III),dr- + -jen A,*[d]ra[n],dran,"bind, wind",53467.0312015U+7E8F,35,"0204c纏chándrjen(dr- + -jen A)*[d]ra[n] bind, wind53467.0312015U+7E8F"
0205-,𢵈,jiǎn,kjen,k,見,-jen,仙 (III),k- + -jen B,*krenʔ,krenʔ,,31962.046412U+22D48,35,0205-𢵈jiǎnkjenX(k- + -jen B)*krenʔ 31962.046412U+22D48
0206-,蹮,xiān,sen,s,心,-en,先,s- + -en A,*sˤe[r],sˤer,,63738.0515711U+8E6E,35,0206-蹮xiānsen(s- + -en A)*sˤe[r] 63738.0515711U+8E6E
0206a,𠨧,qiān,tshjen,tsh,清,-jen,仙 (III),tsh- + -jen A,*[tsʰ]ar,tsʰar,rise high (Shuōwén),10319.12616U+20A27,35,0206a𠨧qiāntshjen(tsh- + -jen A)*[tsʰ]ar rise high (Shuōwén)10319.12616U+20A27
0206b,僊,xiān,sjen,s,心,-jen,仙 (III),s- + -jen A,*[s]a[r],sar,immortal,10209.02911U+50CA,35,0206b僊xiānsjen(s- + -jen A)*[s]a[r] immortal10209.02911U+50CA
0206c,遷,qiān,tshjen,tsh,清,-jen,仙 (III),tsh- + -jen A,*[tsʰ]ar,tsʰar,move (v.),63881.0216212U+9077,35,0206c遷qiāntshjen(tsh- + -jen A)*[tsʰ]ar move (v.)63881.0216212U+9077
0207-,㳄,xián,zjen,z,邪,-jen,仙 (III),z- + -jen A,*s-N-qa[r],s-N-qar,saliva (from envy?),31570.03854U+3CC4,35,0207-㳄xiánzjen(z- + -jen A)*s-N-qa[r] saliva (from envy?)31570.03854U+3CC4
0207-,㳄,xián,zjen,z,邪,-jen,仙 (III),z- + -jen A,*s-N-qa[r],s-N-qar,spittle,31570.03854U+3CC4,35,0207-㳄xiánzjen(z- + -jen A)*s-N-qa[r] spittle31570.03854U+3CC4
0207a,羨,xiàn,zjen,z,邪,-jen,仙 (III),z- + -jen C,*s-N-qa[r]-s,s-N-qar-s,"covet, desire",53134.11237U+7FA8,35,"0207a羨xiànzjenH(z- + -jen C)*s-N-qa[r]-s covet, desire53134.11237U+7FA8"
0207a,羨,xiàn,zjen,z,邪,-jen,仙 (III),z- + -jen C,*s-[ɢ]a[n]-s,s-ɢan-s,"surplus, affluence",53134.11237U+7FA8,35,"0207a羨xiànzjenH(z- + -jen C)*s-[ɢ]a[n]-s surplus, affluence53134.11237U+7FA8"
0208a,孱,chán,dzrean,dzr,崇,-ean,山,dzr- + -ean A,*[dz]r[a][n],dzran,"timid21017.12399U+5B71
𢵈搌 ugly and long (?)輾轉 toss and turn ((Ode 1.2,145.3)
𢵈搌 *ugly and long(?)蹁蹮 walk with difficulty(Shuōwén)",,35,"0208a孱chándzrean(dzr- + -ean A)*[dz]r[a][n] timid21017.12399U+5B71
𢵈搌 ugly and long (?)輾轉 toss and turn ((Ode 1.2,145.3)
𢵈搌 *ugly and long(?)蹁蹮 walk with difficulty(Shuōwén)"
0208e,轏,zhàn,dzrean,dzr,崇,-ean,山,dzr- + -ean B,*[dz]r[a][n]ʔ,dzranʔ,(dzrj- > dzr-)a kind of carriage,53557.0615912U+8F4F,36,0208e轏zhàndzreanX(dzr- + -ean B)*[dz]r[a][n]ʔ (dzrj- > dzr-)a kind of carriage53557.0615912U+8F4F
0209-,𩆵,sī,sje,s,心,-je,支 (III),s- + -je A,*s[e]r,ser,light rain,64084.1117317U+291B5,36,0209-𩆵sīsje(s- + -je A)*s[e]r light rain64084.1117317U+291B5
0209-,𩆵,xiàn,sen,s,心,-en,先,s- + -en C,*sˤ[e]r-s,sˤer-s,sleet,64084.1117317U+291B5,36,0209-𩆵xiànsenH(s- + -en C)*sˤ[e]r-s sleet64084.1117317U+291B5
