entry_id,character,modern_reading,mc_form,mc_onset,mc_onset_group,mc_rhyme,mc_rhyme_group,mc_annotation,oc_form_raw,oc_form_clean,gloss,source_ref,pdf_page,raw_text
0001o,荷,hè,ha,h,匣,-a,歌,h- + -a B,*[g]ˤajʔ,gˤajʔ,carry,53220.041407U+8377,3,0001o荷hèhaX(h- + -a B)*[g]ˤajʔ carry53220.041407U+8377
0001q,歌,gē,ka,k,見,-a,歌,k- + -a A,*[k]ˤaj,kˤaj,"sing, song",32147.127610U+6B4C,3,"0001q歌gēka(k- + -a A)*[k]ˤaj sing, song32147.127610U+6B4C"
0001s,奇,jī,kje,k,見,-je,支 (III),k- + -je A,*[k](r)aj,kraj,odd (number),10533.04375U+5947,3,0001s奇jīkje(k- + -je A)*[k](r)aj odd (number)10533.04375U+5947
0001s,奇,qí,gje,g,群,-je,支 (III),g- + -je A,*N-k(r)aj,N-kraj,"strange10533.04375U+5947
阿會亘 ēhuìxuān: Skt. ābhāsvara“shining” (E. Hàn)",,3,"0001s奇qígje(g- + -je A)*N-k(r)aj strange10533.04375U+5947
阿會亘 ēhuìxuān: Skt. ābhāsvara“shining” (E. Hàn)"
0001u,騎,qí,gje,g,群,-je,支 (III),g- + -je A,*C.g(r)aj,C.graj,(~ *[Cəә.g](r)aj)straddle; ride,74560.081878U+9A0E,4,0001u騎qígje(g- + -je A)*C.g(r)aj (~ *[Cəә.g](r)aj)straddle; ride74560.081878U+9A0E
0001u,騎,qí,gje,g,群,-je,支 (III),g- + -je C,*[g](r)aj-s,graj-s,rider,74560.081878U+9A0E,4,0001u騎qígjeH(g- + -je C)*[g](r)aj-s rider74560.081878U+9A0E
0001v,錡,qí,gje,g,群,-je,支 (III),g- + -je A,*C.ɢ(r)aj,C.ɢraj,cooking pot,64217.021678U+9321,4,0001v錡qígje(g- + -je A)*C.ɢ(r)aj cooking pot64217.021678U+9321
0001v,錡,yǐ,ngje,ng,疑,-je,支 (III),ng- + -je B,*m.ɢ(r)ajʔ,m.ɢrajʔ,cooking pot,64217.021678U+9321,4,0001v錡yǐngjeX(ng- + -je B)*m.ɢ(r)ajʔ cooking pot64217.021678U+9321
0004l,蛇,"ye42845.081425U+86C7
jì",kje,k,見,-je,支 (III),k- + -je C,*C.[k](r)aj-s,C.kraj-s,"khjeX(kh- + -je B)'jeX('- + -je B)*Cəә.q(r)ajʔ ngaX(ng- + -a B)*ŋˤajʔ ngaH(ng- + -a C)*ŋˤaj-s nga(ng- + -a A)nga(ng- + -a A)*ŋˤaj silkworm moth [Bombyx]ngjeX(ng- + -je B)*m-qʰ(r)ajʔ yìngjeH(ng- + -je C)*ŋ(r)aj-s yíngje(ng- + -je A)*ŋ(r)aj yìngjeH(ng- + -je C)*ŋ(r)aj-s ngjeX(ng- + -je B)*m-qʰ(r)ajʔ xje(x- + -je A)*ŋ̊(r)aj xje(x- + -je A)*[t.l]ˤaj tsyheX(tsyh- + -je B)*t-l̥ajʔ tsyhaeX(tsyh- + -jae B)tsyheX(tsyh- + -je B)*[t-l̥]ajʔ yí(y- + -je A)*laj yí(y- + -je A)*laj duòdaX*lˤajʔ  (~ *C.lˤajʔ)tha(th- + -a A)*l̥ˤaj yaeX(y- + -jae B)tuōtha(th- + -a A)*l̥ˤaj tuóda*lˤaj tuóda*lˤaj shézyae(zy- + -jae A)yí(y- + -je A)*laj 委蛇 compliant, complacent",,4,"0004l蛇ye42845.081425U+86C7
jìkjeH(k- + -je C)*C.[k](r)aj-s khjeX(kh- + -je B)'jeX('- + -je B)*Cəә.q(r)ajʔ ngaX(ng- + -a B)*ŋˤajʔ ngaH(ng- + -a C)*ŋˤaj-s nga(ng- + -a A)nga(ng- + -a A)*ŋˤaj silkworm moth [Bombyx]ngjeX(ng- + -je B)*m-qʰ(r)ajʔ yìngjeH(ng- + -je C)*ŋ(r)aj-s yíngje(ng- + -je A)*ŋ(r)aj yìngjeH(ng- + -je C)*ŋ(r)aj-s ngjeX(ng- + -je B)*m-qʰ(r)ajʔ xje(x- + -je A)*ŋ̊(r)aj xje(x- + -je A)*[t.l]ˤaj tsyheX(tsyh- + -je B)*t-l̥ajʔ tsyhaeX(tsyh- + -jae B)tsyheX(tsyh- + -je B)*[t-l̥]ajʔ yí(y- + -je A)*laj yí(y- + -je A)*laj duòdaX*lˤajʔ  (~ *C.lˤajʔ)tha(th- + -a A)*l̥ˤaj yaeX(y- + -jae B)tuōtha(th- + -a A)*l̥ˤaj tuóda*lˤaj tuóda*lˤaj shézyae(zy- + -jae A)yí(y- + -je A)*laj 委蛇 compliant, complacent"
0005m,鹺,cuó,dza,dz,從,-a,歌,dz- + -a A,*N-[ts]ˤaj,N-tsˤaj,salt,74611.0219710U+9E7A,5,0005m鹺cuódza(dz- + -a A)*N-[ts]ˤaj salt74611.0219710U+9E7A
0005n,嗟,jiē,tsjae,ts,精,-jae,麻,ts- + -jae A,*tsAj,tsAj,sigh; alas!,10661.013010U+55DF,5,0005n嗟jiētsjae(ts- + -jae A)*tsAj sigh; alas!10661.013010U+55DF
0006-,籮,luó,la,l,來,-a,歌,l- + -a A,*C.rˤaj,C.rˤaj,"(no pre-Qín exx.)hamper, basket (n.)",53034.1211819U+7C6E,5,"0006-籮luóla(l- + -a A)*C.rˤaj (no pre-Qín exx.)hamper, basket (n.)53034.1211819U+7C6E"
0006a,羅,luó,la,l,來,-a,歌,l- + -a A,*rˤaj,rˤaj,42928.0512214U+7F85 0007a⼽戈gēkwa(k- + -wa A)*kʷˤaj dagger-axe,21397.01620U+6208,5,0006a羅luóla(l- + -a A)*rˤaj 42928.0512214U+7F85 0007a⼽戈gēkwa(k- + -wa A)*kʷˤaj dagger-axe21397.01620U+6208
0007e,划,huá,hwae,h,匣,-wae,麻,h- + -wae A,*C.[g]ʷˤraj,C.gʷˤraj,(?)row (v.)10326.02184U+5212 0008a⽲禾héhwa(h- + -wa A)*[ɢ]ˤoj growing grain,42588.011150U+79BE,5,0007e划huáhwae(h- + -wae A)*C.[g]ʷˤraj (?)row (v.)10326.02184U+5212 0008a⽲禾héhwa(h- + -wa A)*[ɢ]ˤoj growing grain42588.011150U+79BE
